ReportType,PostingDateStart,PostingDateEnd,MsrbId,Cusip6,Cusip9,IssuerName,ObligorName,CouponPercent,ClearingId,EBS,Spread,CompanyName,NumTimesToRun
Q30,6/1/2010,5/31/2013,,01179P,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,123776,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A0104,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A0105,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,190335,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,199491,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,20772G,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,INDEPENDENT,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,REDEVELOPMENT,,,,,,1
Q20,6/1/2010,5/31/2013,,20774U,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,20775B,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,CALIFORNIA,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,DEPARTMENT,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,SERVICES,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,HOSTPITAL,,,,,,1
Q20,6/1/2010,5/31/2013,,248866,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,20772F,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A4861,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A5232,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A6962,,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,266777,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,342816,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,274407,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,BUILDING COPORATION,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,COMMONWEALTH,,,,,,1
Q20,6/1/2010,5/31/2013,,359900,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,373540,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,373541,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,438670,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A0365,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A0455,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A0503,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A0576,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,448492,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,451443,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,45200F,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,FIN,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,FINANCE AUTHORITY,,,,,,1
Q30,6/1/2010,5/31/2013,,454624,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,455057,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,49119F,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,54810C,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,AGENCY,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,MUNICIPAL,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,DEVELOPMENT,,,,,,1
Q30,6/1/2010,5/31/2013,,575827,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,57582N,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,HEALTH,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,TOWNSHIP,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,COUNTY,,,,,,1
Q30,6/1/2010,5/31/2013,,57582P,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,57586E,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,57586P,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,575896,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,59259R,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,AUTHORITY,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,HOUSING,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,INCORPORATED,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,UNIVERSITY,,,,,,1
Q20,6/1/2010,5/31/2013,,594614,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,60534R,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,608557,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A0785,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A0976,,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,AGENCY,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,MUNICIPAL,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,FACILITY,,,,,,1
Q20,6/1/2010,5/31/2013,A1009,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A1012,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,61334M,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,641461,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,64579F,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A1172,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A1218,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A1313,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,646108,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,646135,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,647200,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A0503,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A0576,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,64966K,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,64972B,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,649905,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,649906,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,COMMISSION,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,FLORIDA,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,OHIO,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,VIRGINIA,,,,,,1
Q20,6/1/2010,5/31/2013,,649907,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,658196,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,658196,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,65820P,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A1126,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A1487,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A2091,,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,67919P,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,679200,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,68608K,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,DEVELOPMENT,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,FINANCE AGENCY,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,BUILDING,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,REVENUE,,,,,,1
Q20,6/1/2010,5/31/2013,,68608U,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,709144,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,709223,,,,,,,,,1
