ReportType,PostingDateStart,PostingDateEnd,MsrbId,Cusip6,Cusip9,IssuerName,ObligorName,CouponPercent,ClearingId,EBS,Spread,CompanyName,NumTimesToRun
Q1,1/1/2010,3/1/2010,A0278,,,,,,,,,,1
Q2,1/3/2012,1/15/2012,A6907,,71883REC3,,,,,,,,1
Q6,1/3/2012,3/1/2012,,,016066BH4,,,,,,,,1
Q8,1/3/2012,3/1/2012,,,,,,7.5,,,,,1
Q11,1/3/2012,3/1/2012,,,,,,,ABC,,,,1
Q10,1/3/2012,1/15/2012,,,,,,,,,101,,1
Q12,1/3/2012,3/1/2012,,,,,,,ABC,ABC,,,1
Q14,1/3/2012,3/1/2012,,,,,,,,,101,Securities,1
Q1,2/1/2014,1/31/2015,A3567,,,,,,,,,,1
Q1,6/1/2013,2/19/2015,A6947,,,,,,,,,,1
Q1,1/30/2013,9/30/2013,A1681,,,,,,,,,,1
Q2,10/14/2014,10/17/2014,A0147,,70869VAW4,,,,,,,,1
Q2,9/10/2010,9/20/2010,A5865,,64972FT63,,,,,,,,1
Q2,9/1/2011,9/30/2011,A2359,,232267AH7,,,,,,,,1
Q6,12/1/2012,8/31/2014,B0027,,349545D26 485116SD0 505786FP3 576002AR0 606341CE3 660266EP8 677521BP0 677521G67 677521MW3 77183TAM5 791434US0 833119YD6 848644W55,,,,,,,,1
Q6,8/22/2014,10/23/2014,,,34153PLK2 093851ST1 40727E5H6 419722A37,,,,,,,,1
Q6,1/7/2012,1/14/2012,,,745474TC0 745474TD8,,,,,,,,1
Q8,1/1/2012,1/1/2012,B0027,,,,,7.5,,,,,1
Q10,7/25/2014,8/7/2014,,,,,,,,,7,,1
Q10,2/1/2014,2/13/2014,,,,,,,,,10,,1
Q10,6/24/2013,7/5/2013,,,,,,,,,10,,1
Q11,3/1/2014,3/31/2014,,,,,,,A5859,,,,1
Q11,12/26/2013,3/7/2014,,,,,,,A6154,,,,1
Q11,1/1/2014,2/6/2014,,,,,,,PFCL,,,,1
Q12,9/1/2013,10/31/2013,,,,,,,103,MAWI,,,1
Q12,10/5/2012,3/8/2013,,,,,,,799,KEYB,,,1
Q12,1/1/2012,11/26/2012,,,,,,,443,RWBM,,,1
Q14,12/4/2014,12/31/2014,A5546,,,,,,,,10,,1
Q14,3/1/2014,3/31/2014,A0668,,,,,,,,10,,1
Q14,4/1/2014,4/30/2014,A1091,,,,,,,,10,,1
Q1,2/1/2013,1/31/2014,A3567,,,,,,,,,,1
Q1,6/1/2012,2/19/2013,A6947,,,,,,,,,,1
